RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group,Balance_Group,CreditScore_Group,Value_Score,Risk_Score,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Type
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,40-50岁,无余额,良好,0.5146918345188602,0.1782608695652174,2,2,0.0,4,3,1,8,高价值
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,30-40岁,无余额,一般,0.4323115930570754,0.4391304347826087,2,2,0.0,4,3,1,8,高价值
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,30-40岁,无余额,较差,0.3583770019752742,0.4652173913043478,6,1,0.0,2,1,1,4,低价值
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,40-50岁,无余额,一般,0.24884975078592367,0.2,7,2,0.0,2,3,1,6,中价值
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,30-40岁,无余额,优秀,0.5800230572434228,0.16521739130434784,5,1,0.0,3,1,1,5,中价值
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,<30岁,无余额,较差,0.3904165163551326,0.10869565217391304,7,2,0.0,2,3,1,6,中价值
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,30-40岁,高余额,良好,0.7400174983546799,0.1565217391304348,8,1,136815.64,1,1,4,6,中价值
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,40-50岁,无余额,较差,0.2591816044871522,0.49130434782608695,1,2,0.0,4,3,1,8,高价值
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,40-50岁,高余额,较差,0.5782245823635815,0.18695652173913047,7,1,141349.43,2,1,4,7,中价值
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,<30岁,中余额,很差,0.3204602293546544,0.12608695652173915,10,2,59697.17,1,3,2,6,中价值
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,30-40岁,无余额,较差,0.41930022806504585,0.7695652173913043,7,3,0.0,2,4,1,7,中价值
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,30-40岁,中余额,较差,0.5592344747466367,0.1565217391304348,3,1,85311.7,3,1,2,6,中价值
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,40-50岁,高余额,较差,0.4935787321142938,0.4782608695652174,1,2,110112.54,4,3,3,10,超高价值
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,40-50岁,无余额,较差,0.235147177592701,0.1826086956521739,4,2,0.0,3,3,1,7,中价值
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,<30岁,无余额,良好,0.467881145378125,0.12608695652173915,1,2,0.0,4,3,1,8,高价值
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,40-50岁,高余额,很差,0.4234366198436814,0.4956521739130435,10,1,134264.04,1,1,4,6,中价值
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,30-40岁,高余额,很差,0.5756321984233486,0.13478260869565217,7,1,145260.23,2,1,4,7,中价值
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,30-40岁,中余额,优秀,0.5534897845837796,0.14347826086956522,3,1,76548.6,3,1,2,6,中价值
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,30-40岁,无余额,优秀,0.3612216519341127,0.1565217391304348,3,1,0.0,3,1,1,5,中价值
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,40-50岁,中余额,较差,0.5846891307888415,0.1782608695652174,4,2,70349.48,3,3,2,8,高价值
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,30-40岁,无余额,很差,0.2718235221409031,0.47391304347826085,6,1,0.0,2,1,1,4,低价值
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,50-60岁,高余额,很差,0.6314083495755387,0.5217391304347826,2,1,122522.32,4,1,3,8,高价值
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,>60岁,高余额,较差,0.5246698252772252,0.2652173913043478,8,1,117419.35,1,1,3,5,中价值
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,40-50岁,高余额,优秀,0.7953913166531461,0.5130434782608696,8,1,131394.56,1,1,4,6,中价值
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,>60岁,超高余额,一般,0.7190544191531487,0.2652173913043478,5,1,155931.11,3,1,4,8,高价值
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,30-40岁,高余额,良好,0.6381128098983354,0.1391304347826087,6,2,109421.13,2,3,3,8,高价值
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,<30岁,高余额,优秀,0.6507886659248472,0.1173913043478261,1,1,112045.67,4,1,3,8,高价值
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,30-40岁,高余额,一般,0.6210249843236207,0.16956521739130437,1,1,137843.8,4,1,4,9,高价值
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,30-40岁,高余额,较差,0.49527403247741925,0.16521739130434784,8,1,103391.38,1,1,3,5,中价值
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,30-40岁,高余额,良好,0.7304784252765719,0.4608695652173913,8,2,103769.22,1,3,3,7,中价值
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,40-50岁,高余额,一般,0.7289678076276024,0.49130434782608695,0,2,116363.37,4,3,3,10,超高价值
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,30-40岁,高余额,较差,0.5689574063817786,0.4565217391304348,5,2,146050.97,3,3,4,10,超高价值
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,30-40岁,无余额,良好,0.4535915298768175,0.4434782608695652,5,2,0.0,3,3,1,7,中价值
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,40-50岁,高余额,一般,0.6774271661008696,0.4782608695652174,2,1,125561.97,4,1,3,8,高价值
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,40-50岁,中余额,一般,0.42917109110839163,0.4826086956521739,9,1,98495.72,1,1,3,5,中价值
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,40-50岁,高余额,一般,0.5882146778901757,0.18695652173913047,9,1,125211.92,1,1,3,5,中价值
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,40-50岁,高余额,一般,0.5660464145908104,0.4956521739130435,5,1,127864.4,3,1,4,8,高价值
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,<30岁,中余额,良好,0.44529204361555297,0.3826086956521739,10,1,75888.2,1,1,2,4,低价值
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,>60岁,无余额,较差,0.18281769885135915,0.5869565217391304,6,1,0.0,2,1,1,4,低价值
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,50-60岁,低余额,一般,0.3517358961024823,0.22173913043478263,6,1,40685.92,2,1,2,5,中价值
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,30-40岁,高余额,良好,0.6068388667994018,0.45217391304347826,5,1,136857.0,3,1,4,8,高价值
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,<30岁,超高余额,一般,0.6750737425712205,0.4173913043478261,1,2,152328.88,4,3,4,11,超高价值
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,30-40岁,中余额,较差,0.553503928195729,0.4434782608695652,9,2,56084.69,1,3,2,6,中价值
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,50-60岁,中余额,一般,0.5159955951934564,0.24347826086956526,2,1,78707.16,4,1,2,7,中价值
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,<30岁,高余额,一般,0.5261307449884867,0.11304347826086956,6,1,109166.37,2,1,3,6,中价值
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,30-40岁,超高余额,良好,0.5774556061114094,0.1565217391304348,4,2,169831.46,3,3,4,10,超高价值
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,30-40岁,高余额,较差,0.5327431081681712,0.4478260869565217,9,1,101633.04,1,1,3,5,中价值
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,40-50岁,高余额,良好,0.7508153167173658,0.18695652173913047,0,2,123180.01,4,3,3,10,超高价值
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,30-40岁,超高余额,一般,0.6440834156033044,0.15217391304347827,5,2,150725.53,3,3,4,10,超高价值
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,<30岁,中余额,一般,0.4223746332908305,0.3913043478260869,2,1,98373.26,4,1,3,8,高价值
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,50-60岁,高余额,良好,0.5162596954525511,0.8521739130434782,8,4,133745.44,1,4,4,9,高价值
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,<30岁,无余额,优秀,0.33787389654086286,0.4260869565217391,4,1,0.0,3,1,1,5,中价值
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,30-40岁,超高余额,一般,0.5590246477745675,0.16086956521739132,10,1,163607.18,1,1,4,6,中价值
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,<30岁,超高余额,一般,0.5523656822687596,0.10869565217391304,5,2,157780.84,3,3,4,10,超高价值
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,30-40岁,无余额,较差,0.4015282806162923,0.1565217391304348,1,2,0.0,4,3,1,8,高价值
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,<30岁,超高余额,良好,0.5779205762918751,0.3913043478260869,9,2,178718.19,1,3,4,8,高价值
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,50-60岁,无余额,一般,0.4431032501880894,0.2391304347826087,2,2,0.0,4,3,1,8,高价值
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,30-40岁,无余额,一般,0.46161843704146804,0.1391304347826087,1,1,0.0,4,1,1,6,中价值
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,30-40岁,中余额,良好,0.6817095783323968,0.14347826086956522,5,1,77253.22,3,1,2,6,中价值
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,40-50岁,高余额,很差,0.48908513998677305,0.4782608695652174,0,2,122189.66,4,3,3,10,超高价值
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,30-40岁,中余额,一般,0.6459153959334099,0.4478260869565217,9,2,96645.54,1,3,2,6,中价值
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,30-40岁,无余额,良好,0.4789302756489526,0.4391304347826087,8,1,0.0,1,1,1,3,低价值
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,30-40岁,无余额,较差,0.23067791138358565,0.4565217391304348,7,2,0.0,2,3,1,6,中价值
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,30-40岁,中余额,较差,0.561425133535709,0.14782608695652175,6,1,90307.62,2,1,2,5,中价值
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,40-50岁,无余额,很差,0.1768615975960696,0.5,6,2,0.0,2,3,1,6,中价值
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,>60岁,无余额,一般,0.4021377400143187,0.32608695652173914,0,2,0.0,4,3,1,8,高价值
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,<30岁,高余额,良好,0.6516721787686088,0.39565217391304347,7,1,121681.82,2,1,3,6,中价值
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,<30岁,无余额,良好,0.48510670840047115,0.4304347826086956,1,2,0.0,4,3,1,8,高价值
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,40-50岁,无余额,一般,0.3678823895778481,0.8,6,3,0.0,2,4,1,7,中价值
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,<30岁,中余额,一般,0.589443927191905,0.12173913043478263,7,2,81623.67,2,3,2,7,中价值
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,40-50岁,无余额,一般,0.48967059672031904,0.49130434782608695,5,3,0.0,3,4,1,8,高价值
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,40-50岁,高余额,优秀,0.6950065409768499,0.4956521739130435,3,2,118626.55,3,3,3,9,高价值
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,30-40岁,无余额,较差,0.34936921396479803,0.4565217391304348,0,2,0.0,4,3,1,8,高价值
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,<30岁,无余额,良好,0.5298573972616665,0.12608695652173915,2,2,0.0,4,3,1,8,高价值
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,40-50岁,无余额,良好,0.3866256134171821,0.1826086956521739,6,2,0.0,2,3,1,6,中价值
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,30-40岁,超高余额,较差,0.6447169797174542,0.15217391304347827,0,1,176273.95,4,1,4,9,高价值
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,40-50岁,高余额,良好,0.5336550382183893,0.1782608695652174,1,1,102827.44,4,1,3,8,高价值
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,<30岁,中余额,优秀,0.7380016460314842,0.12608695652173915,2,2,97086.4,4,3,2,9,高价值
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,<30岁,无余额,良好,0.40006141548569285,0.39565217391304347,2,2,0.0,4,3,1,8,高价值
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,30-40岁,无余额,很差,0.1555663444239621,0.4478260869565217,1,2,0.0,4,3,1,8,高价值
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,30-40岁,无余额,一般,0.47748705592506746,0.17391304347826086,4,1,0.0,3,1,1,5,中价值
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,40-50岁,无余额,一般,0.47063542625673305,0.49130434782608695,4,2,0.0,3,3,1,7,中价值
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,30-40岁,中余额,良好,0.45523418392979964,0.43478260869565216,1,1,82674.15,4,1,2,7,中价值
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,30-40岁,无余额,较差,0.27716119556683566,0.4565217391304348,3,2,0.0,3,3,1,7,中价值
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,>60岁,无余额,一般,0.502964128392404,0.28260869565217395,9,1,0.0,1,1,1,3,低价值
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,40-50岁,高余额,一般,0.4367120461334852,0.2,6,2,107073.27,2,3,3,8,高价值
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,30-40岁,中余额,较差,0.36228654937554344,0.1391304347826087,9,1,88938.62,1,1,2,4,低价值
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,30-40岁,中余额,良好,0.49164503510966623,0.1565217391304348,8,1,99806.85,1,1,3,5,中价值
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,30-40岁,超高余额,一般,0.5606165182197475,0.4434782608695652,5,1,150092.8,3,1,4,8,高价值
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,30-40岁,中余额,很差,0.46624176828779784,0.45217391304347826,1,1,92833.89,4,1,2,7,中价值
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,<30岁,中余额,一般,0.4807329573067208,0.13043478260869565,7,1,90536.81,2,1,2,5,中价值
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,30-40岁,高余额,较差,0.403000085475612,0.46956521739130436,3,2,108055.1,3,3,3,9,高价值
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,40-50岁,高余额,较差,0.4883612264729879,0.4826086956521739,8,1,100238.35,1,1,3,5,中价值
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,30-40岁,高余额,一般,0.4420247763338519,0.1565217391304348,1,1,106190.55,4,1,3,8,高价值
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,<30岁,超高余额,良好,0.6527038632278807,0.12173913043478263,1,2,154475.54,4,3,4,11,超高价值
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,<30岁,高余额,一般,0.5439089985695635,0.13043478260869565,1,2,132351.29,4,3,4,11,超高价值
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,30-40岁,超高余额,一般,0.6768503098284016,0.4608695652173913,4,1,167864.4,3,1,4,8,高价值
118,15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,0,40-50岁,无余额,较差,0.22623947698080507,0.4782608695652174,9,2,0.0,1,3,1,5,中价值
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,30-40岁,高余额,较差,0.6564328353511839,0.43478260869565216,2,1,107818.63,4,1,3,8,高价值
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,30-40岁,超高余额,一般,0.7231819858905105,0.4478260869565217,6,2,185173.81,2,3,4,9,高价值
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,30-40岁,高余额,优秀,0.5557871529687296,0.4478260869565217,2,2,129433.34,4,3,4,11,超高价值
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,30-40岁,高余额,一般,0.5797055255642198,0.46956521739130436,4,1,120193.42,3,1,3,7,中价值
123,15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0,30-40岁,无余额,一般,0.44314218840510755,0.46956521739130436,4,2,0.0,3,3,1,7,中价值
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,40-50岁,高余额,一般,0.7401082225405522,0.20869565217391306,0,1,126384.42,4,1,3,8,高价值
125,15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,0,<30岁,无余额,一般,0.4960682083411042,0.4217391304347826,7,1,0.0,2,1,1,4,低价值
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,40-50岁,超高余额,很差,0.561166196670684,0.4826086956521739,1,1,152603.45,4,1,4,9,高价值
127,15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,1,50-60岁,无余额,较差,0.20671926797388757,0.22608695652173913,9,1,0.0,1,1,1,3,低价值
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,50-60岁,高余额,一般,0.5275880493349475,0.5434782608695652,10,1,148507.24,1,1,4,6,中价值
129,15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,0,40-50岁,无余额,优秀,0.5493131152437214,0.4782608695652174,3,2,0.0,3,3,1,7,中价值
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,<30岁,高余额,良好,0.6849987923136269,0.4043478260869565,1,1,101827.07,4,1,3,8,高价值
131,15740404,He,758,France,Female,34,3,0.0,2,1,1,124226.16,0,30-40岁,无余额,良好,0.4538756583835787,0.14782608695652175,7,2,0.0,2,3,1,6,中价值
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,30-40岁,高余额,良好,0.6616279453352326,0.14347826086956522,1,1,130862.43,4,1,4,9,高价值
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,30-40岁,高余额,一般,0.4912973205407674,0.16521739130434784,1,1,122570.87,4,1,3,8,高价值
134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0,<30岁,无余额,一般,0.2668076304021972,0.10869565217391304,9,2,0.0,1,3,1,5,中价值
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,30-40岁,高余额,良好,0.6641048434995943,0.16956521739130437,3,2,124828.46,3,3,3,9,高价值
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,40-50岁,高余额,较差,0.49129840550524173,0.21739130434782608,5,2,144895.05,3,3,4,10,超高价值
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,30-40岁,中余额,很差,0.5158894375658042,0.14782608695652175,5,1,63663.93,3,1,2,6,中价值
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,30-40岁,高余额,一般,0.5773533840240627,0.17391304347826086,8,1,133463.1,1,1,4,6,中价值
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,40-50岁,超高余额,较差,0.6586769500061846,0.508695652173913,8,1,213146.2,1,1,4,6,中价值
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,30-40岁,高余额,较差,0.42368262929084083,0.15217391304347827,9,2,129490.36,1,3,4,8,高价值
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,40-50岁,高余额,良好,0.7702861982284137,0.49130434782608695,0,1,137452.09,4,1,4,9,高价值
142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0,30-40岁,无余额,一般,0.5046510364789716,0.14782608695652175,3,2,0.0,3,3,1,7,中价值
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,40-50岁,高余额,一般,0.7313365895130182,0.18695652173913047,5,1,125851.93,3,1,3,7,中价值
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,50-60岁,无余额,良好,0.5185770578620815,0.5260869565217391,8,1,0.0,1,1,1,3,低价值
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,30-40岁,低余额,一般,0.49844078005661235,0.43478260869565216,5,1,40915.55,3,1,2,6,中价值
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,<30岁,高余额,很差,0.4327952520462789,0.09130434782608696,5,1,113157.22,3,1,3,7,中价值
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,<30岁,高余额,一般,0.6562219185290233,0.4260869565217391,2,2,138296.94,4,3,4,11,超高价值
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,30-40岁,高余额,一般,0.4366905566485571,0.4608695652173913,5,1,106967.18,3,1,3,7,中价值
